,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Recognized in State,State Rank,Tied in State?,Region,Recognized in Region,Region Rank,Tied in Region?,Metro,Recognized in Metro,Metro Rank,Tied in Metro?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated,Name (Specialty),Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated_Spec
68,Flushing Hospital Medical Center,6211600,6211600,4500 Parsons Boulevard,Flushing,New York,NY,11355-2205,40.7553,-73.8167,"New York, NY",,(718) 670-5000,https://health.usnews.com/best-hospitals/area/ny/flushing-hospital-medical-center-6211600,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
69,Four Winds Hospital-Katonah,6212080,6212080,800 Cross River Road,Katonah,New York,NY,10536-3549,41.2663,-73.6553,"New York, NY",,(914) 763-8151,https://health.usnews.com/best-hospitals/area/ny/four-winds-hospital-6212080,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
70,Glen Cove Hospital at Northwell Health,6211660,6211660,101 St Andrews Lane,Glen Cove,New York,NY,11542-2254,40.8708,-73.6224,"New York, NY",,(516) 674-7300,https://health.usnews.com/best-hospitals/area/ny/glen-cove-hospital-6211660,,,,,,,,"New York, NY",False,,False,0,1,0,2023-01-04 20:48:35.731110,,,,,,,,
71,Good Samaritan Regional Medical Center-Suffern,6214765,6214765,255 Lafayette Avenue,Suffern,New York,NY,10901-4869,41.1115,-74.1354,"New York, NY",,(845) 368-5000,https://health.usnews.com/best-hospitals/area/ny/good-samaritan-hospital-6214765,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
72,Goryeb Children's Hospital,6220680,PA6220680,100 Madison Avenue,Morristown,New Jersey,NJ,07960-6136,40.7895,-74.4656,"New York, NY",,(973) 971-5000,https://health.usnews.com/best-hospitals/area/nj/goryeb-childrens-hospital-morristown-nj-PA6220680,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
73,Gracie Square Hospital,6212815,6212815,420 East 76th Street,New York,New York,NY,10021-3396,40.7697818,-73.9528543,"New York, NY",,(212) 988-4400,https://health.usnews.com/best-hospitals/area/ny/gracie-square-hospital-6212815,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
74,Greystone Park Psychiatric Hospital,6220350,6220350,59 Koch Avenue,Morris Plains,New Jersey,NJ,07950-4400,40.8389,-74.5103,"New York, NY",,(973) 538-1800,https://health.usnews.com/best-hospitals/area/nj/greystone-park-psychiatric-hospital-6220350,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
75,Hackensack Meridian Health JM Sanzari and K Hovnanian Children’s Hospitals,6220740,PA6220740,1945 Route 33,Neptune,New Jersey,NJ,07754-0397,40.2075,-74.0408,"New York, NY",,(732) 775-5500,https://health.usnews.com/best-hospitals/area/nj/k-hovnanian-childrens-hospital-at-jersey-shore-university-medical-center-PA6220740,,,,,,,,"New York, NY",False,,False,0,0,1,2023-01-04 20:48:35.731110,,,,,,,,
76,Hackensack Meridian Health JM Sanzari and K Hovnanian Children’s Hospitals,6220340,PA6220340,30 Prospect Avenue,Hackensack,New Jersey,NJ,07601-1914,40.8839,-74.0556,"New York, NY",,(844) 464-9355,https://health.usnews.com/best-hospitals/area/nj/joseph-m-sanzari-childrens-hospital-at-hackensack-university-medical-center-PA6220340,,,,,,,,"New York, NY",False,,False,0,0,1,2023-01-04 20:48:35.731110,,,,,,,,
77,Hassenfeld Children’s Hospital at NYU Langone,6212925,PA6212925,550 First Avenue,New York,New York,NY,10016-6402,40.7421,-73.9743,"New York, NY",,(212) 263-7300,https://health.usnews.com/best-hospitals/area/ny/nyu-childrens-hospital-PA6212925,,,,,,,,"New York, NY",False,,False,0,0,3,2023-01-04 20:48:35.731110,,,,,,,,
78,HealthSouth Rehabilitation Hospital of Tinton Falls,6220014,6220014,2 Centre Plaza,Tinton Falls,New Jersey,NJ,07724-9744,40.2827,-74.0797,"New York, NY",,(732) 460-5320,https://health.usnews.com/best-hospitals/area/nj/rehabilitation-hospital-of-tinton-falls-6220014,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
79,Helen Hayes Hospital,6215290,6215290,Route 9W,West Haverstraw,New York,NY,10993-1127,41.2093,-73.9855,"New York, NY",,(845) 786-4000,https://health.usnews.com/best-hospitals/area/ny/helen-hayes-hospital-6215290,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
80,Hersh Children’s Center at OMC,6221370,PA6221370,99 Beauvoir Avenue,Summit,New Jersey,NJ,07901-3533,40.7129,-74.3526,"New York, NY",,(908) 522-2000,https://health.usnews.com/best-hospitals/area/nj/hersh-childrens-center-at-omc-PA6221370,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
81,Holy Name Medical Center,6221390,6221390,718 Teaneck Road,Teaneck,New Jersey,NJ,07666-4281,40.8831,-74.0107,"New York, NY",,(201) 833-3000,https://health.usnews.com/best-hospitals/area/nj/holy-name-medical-center-6221390,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Holy Name Medical Center,IHQCANC,35.7/100,,,,adult,2023-01-04 20:29:21.680567
82,Hospital for Special Surgery,6212900,6212900,535 East 70th Street,New York,New York,NY,10021-4898,40.765,-73.9526,"New York, NY",,(212) 606-1000,https://health.usnews.com/best-hospitals/area/ny/hospital-for-special-surgery-6212900,,,,,,,,"New York, NY",False,,False,0,2,1,2023-01-04 20:48:35.731110,,,,,,,,
83,Hudson County Meadowview Psychiatric Hospital,6220475,6220475,595 County Avenue,Secaucus,New Jersey,NJ,07094-2605,40.7831,-74.0588,"New York, NY",,(201) 369-5252,https://health.usnews.com/best-hospitals/area/nj/hudson-county-meadowview-psychiatric-hospital-6220475,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
84,Hudson Regional Hospital,6221315,6221315,55 Meadowlands Parkway,Secaucus,New Jersey,NJ,07094-2977,40.7919,-74.0733,"New York, NY",,(201) 392-3100,https://health.usnews.com/best-hospitals/area/nj/meadowlands-hospital-medical-center-6221315,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
85,Hunterdon Medical Center,6220295,6220295,2100 Wescott Drive,Flemington,New Jersey,NJ,08822-4604,40.5314,-74.861,"New York, NY",,(908) 788-6100,https://health.usnews.com/best-hospitals/area/nj/hunterdon-medical-center-6220295,,,,,,,,"New York, NY",False,,False,2,0,0,2023-01-04 20:48:35.731110,,,,,,,,
86,Interfaith Medical Center,6210665,6210665,1545 Atlantic Avenue,Brooklyn,New York,NY,11213-1122,40.6782,-73.9375,"New York, NY",,(718) 613-4000,https://health.usnews.com/best-hospitals/area/ny/interfaith-medical-center-6210665,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
87,Jamaica Hospital Medical Center,6211980,6211980,8900 Van Wyck Expressway,Jamaica,New York,NY,11418-2832,40.7009,-73.816,"New York, NY",,(718) 206-6000,https://health.usnews.com/best-hospitals/area/ny/jamaica-hospital-medical-center-6211980,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
88,James J. Peters Veterans Affairs Medical Center,6213580,6213580,130 West Kingsbridge Road,Bronx,New York,NY,10468-3904,40.869,-73.903,"New York, NY",,(718) 584-9000,https://health.usnews.com/best-hospitals/area/ny/james-j-peters-veterans-affairs-medical-center-6213580,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
89,Jersey City Medical Center,6220435,6220435,355 Grand Street,Jersey City,New Jersey,NJ,07302,40.7166288,-74.0501232,"New York, NY",,(201) 915-2000,https://health.usnews.com/best-hospitals/area/nj/jersey-city-medical-center-6220435,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
90,JFK Johnson Rehabilitation Institute at Hackensack Meridian Health-Edison,6220915,6220915,65 James Street,Edison,New Jersey,NJ,08818,40.5568,-74.3508,"New York, NY",,(732) 321-7050,https://health.usnews.com/best-hospitals/area/nj/jfk-johnson-rehabilitation-institute-6220915,,,,,,,,"New York, NY",False,,False,0,1,0,2023-01-04 20:48:35.731110,,,,,,,,
91,JFK University Medical Center at Hackensack Meridian Health,6220247,6220247,65 James Street,Edison,New Jersey,NJ,08818,40.5568,-74.3508,"New York, NY",,(732) 321-7000,https://health.usnews.com/best-hospitals/area/nj/jfk-medical-center-6220247,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,JFK University Medical Center at Hackensack Meridian Health,IHQCANC,33.2/100,,,,adult,2023-01-04 20:29:21.680567
92,Johnson Rehabilitation Institute at Ocean University Medical Center,6220232,6220232,425 Jack Martin Boulevard,Brick,New Jersey,NJ,08724-7732,40.0772,-74.131,"New York, NY",,(732) 836-4500,https://health.usnews.com/best-hospitals/area/nj/shore-rehabilitation-institute-6220232,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
93,Kessler Institute for Rehabilitation,6220253,6220253,1199 Pleasant Valley Way,West Orange,New Jersey,NJ,07052-1424,40.7857,-74.2772,"New York, NY",,(973) 731-3600,https://health.usnews.com/best-hospitals/area/nj/kessler-institute-for-rehabilitation-6220253,,,,,,,,"New York, NY",False,,False,0,1,0,2023-01-04 20:48:35.731110,,,,,,,,
94,Kindred Hospital-New Jersey Morris County,6220021,6220021,400 West Blackwell Street,Dover,New Jersey,NJ,07801-2525,40.8849,-74.576,"New York, NY",,(973) 537-3818,https://health.usnews.com/best-hospitals/area/nj/kindred-hospital-new-jersey-morris-county-6220021,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
95,Kingsboro Psychiatric Center,6210510,6210510,681 Clarkson Avenue,Brooklyn,New York,NY,11203-2125,40.6563,-73.9383,"New York, NY",,(718) 221-7395,https://health.usnews.com/best-hospitals/area/ny/kingsboro-psychiatric-center-6210510,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
96,Kirby Forensic Psychiatric Center,6210511,6210511,600 East 125th Street,New York,New York,NY,10035-6000,40.8017,-73.9311,"New York, NY",,(646) 672-5800,https://health.usnews.com/best-hospitals/area/ny/kirby-forensic-psychiatric-center-6210511,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
97,Lerner Children’s Pavilion-Hospital for Special Surgery,6212900,PA6212900,535 East 70th Street,New York,New York,NY,10021-4898,40.765,-73.9526,"New York, NY",,(212) 606-1000,https://health.usnews.com/best-hospitals/area/ny/hospital-for-special-surgery-new-york-PA6212900,,,,,,,,"New York, NY",False,,False,0,0,1,2023-01-04 20:48:35.731110,,,,,,,,
98,Long Island Community Hospital,6213923,6213923,101 Hospital Road,Patchogue,New York,NY,11772-4897,40.7803,-72.9772,"New York, NY",,(631) 654-7100,https://health.usnews.com/best-hospitals/area/ny/brookhaven-memorial-hospital-medical-center-6213923,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
99,Maimonides Infants and Children's Hospital of Brooklyn,6210747,PA6210747,4802 Tenth Avenue,Brooklyn,New York,NY,11219-2916,40.6395,-73.9984,"New York, NY",,(718) 283-6000,https://health.usnews.com/best-hospitals/area/ny/maimonides-infants-and-childrens-hospital-of-brooklyn-PA6210747,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
100,Manhattan Psychiatric Center-Ward's Island,6212760,6212760,600 East 125th Street,New York,New York,NY,10035-6000,40.8017,-73.9311,"New York, NY",,(646) 672-6767,https://health.usnews.com/best-hospitals/area/ny/manhattan-psychiatric-center-wards-island-6212760,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
101,Maria Fareri Children's Hospital at Westchester Medical Center,6215150,PA6215150,100 Woods Road,Valhalla,New York,NY,10595-1530,41.0862,-73.806,"New York, NY",,(914) 493-7000,https://health.usnews.com/best-hospitals/area/ny/maria-fareri-childrens-hospital-at-westchester-medical-center-PA6215150,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
102,Matheny Medical and Educational Center,6221135,6221135,65 Highland Avenue,Peapack,New Jersey,NJ,07977,40.712,-74.6404,"New York, NY",,(908) 234-0011,https://health.usnews.com/best-hospitals/area/nj/matheny-medical-and-educational-center-6221135,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
103,Mather Hospital at Northwell Health,6214050,6214050,75 North Country Road,Port Jefferson,New York,NY,11777-2190,40.94,-73.0548,"New York, NY",,(631) 473-1320,https://health.usnews.com/best-hospitals/area/ny/john-t-mather-memorial-hospital-6214050,,,,,,,,"New York, NY",False,,False,3,0,0,2023-01-04 20:48:35.731110,Mather Hospital at Northwell Health,IHQCANC,30.1/100,,,,adult,2023-01-04 20:29:21.680567
104,McMullen Children’s Center at Saint Barnabas Medical Center,6220800,PA6220800,94 Old Short Hills Rd,Livingston,New Jersey,NJ,07039-5672,40.7635,-74.3049,"New York, NY",,(973) 322-5000,https://health.usnews.com/best-hospitals/area/nj/saint-barnabas-childrens-center-PA6220800,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
105,Memorial Sloan Kettering Cancer Center,6213060,6213060,1275 York Avenue,New York,New York,NY,10065-6007,40.7641,-73.956,"New York, NY",,(212) 639-2000,https://health.usnews.com/best-hospitals/area/ny/memorial-sloan-kettering-cancer-center-6213060,,,,,,,,"New York, NY",False,,False,1,7,1,2023-01-04 20:48:35.731110,Memorial Sloan Kettering Cancer Center,IHQCANC,85.7/100,2.0,False,False,adult,2023-01-04 20:29:21.680567
106,Mercy Hospital-Rockville Centre,6214360,6214360,1000 North Village Avenue,Rockville Centre,New York,NY,11570-1000,40.6859,-73.6335,"New York, NY",,(516) 626-3729,https://health.usnews.com/best-hospitals/area/ny/mercy-medical-center-6214360,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Mercy Hospital-Rockville Centre,IHQCANC,22.6/100,,,,adult,2023-01-04 20:29:21.680567
107,Monmouth Medical Center-Long Branch Campus,6220560,6220560,300 Second Avenue,Long Branch,New Jersey,NJ,07740-6303,40.2951,-73.9856,"New York, NY",,(732) 222-5200,https://health.usnews.com/best-hospitals/area/nj/monmouth-medical-center-6220560,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Monmouth Medical Center-Long Branch Campus,IHQCANC,35.2/100,,,,adult,2023-01-04 20:29:21.680567
108,"Monmouth Medical Center, Southern Campus",6220540,6220540,600 River Avenue,Lakewood,New Jersey,NJ,08701-5237,40.073,-74.2187,"New York, NY",,(732) 363-1900,https://health.usnews.com/best-hospitals/area/nj/kimball-medical-center-6220540,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
109,Montefiore Mount Vernon Hospital,6212530,6212530,12 North Seventh Avenue,Mount Vernon,New York,NY,10550-2098,40.9126,-73.8404,"New York, NY",,(914) 664-8000,https://health.usnews.com/best-hospitals/area/ny/mount-vernon-hospital-6212530,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
110,Montefiore New Rochelle Hospital,6212600,6212600,16 Guion Place,New Rochelle,New York,NY,10801-5502,40.9129,-73.7875,"New York, NY",,(914) 632-5000,https://health.usnews.com/best-hospitals/area/ny/sound-shore-medical-center-6212600,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
111,Montefiore Nyack Hospital,6213720,6213720,160 North Midland Avenue,Nyack,New York,NY,10960-1998,41.096,-73.9261,"New York, NY",,(845) 348-2000,https://health.usnews.com/best-hospitals/area/ny/nyack-hospital-6213720,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
112,Mountainside Medical Center at Hackensack Meridian Health,6220650,6220650,1 Bay Avenue,Montclair,New Jersey,NJ,07042-4898,40.8101,-74.2056,"New York, NY",,(973) 429-6000,https://health.usnews.com/best-hospitals/area/nj/hackensack-umc-mountainside-6220650,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
113,Mount Sinai Kravis Children's Hospital,6213140,PA6213140,One Gustave L Levy Place,New York,New York,NY,10029-0310,40.79,-73.9537,"New York, NY",,(212) 241-9500,https://health.usnews.com/best-hospitals/area/ny/mount-sinai-kravis-childrens-hospital-PA6213140,,,,,,,,"New York, NY",False,,False,0,0,3,2023-01-04 20:48:35.731110,,,,,,,,
114,MSK Kids at Memorial Sloan Kettering Cancer Center,6213060,PA6213060,1275 York Avenue,New York,New York,NY,10065-6007,40.7641,-73.956,"New York, NY",,(212) 639-2000,https://health.usnews.com/best-hospitals/area/ny/claire-tow-pediatric-pavilionat-memorial-sloan-kettering-cancer-center-new-york-PA6213060,,,,,,,,"New York, NY",False,,False,0,0,1,2023-01-04 20:48:35.731110,,,,,,,,
115,Nassau University Medical Center,6211810,6211810,2201 Hempstead Turnpike,East Meadow,New York,NY,11554-1859,40.7262,-73.5537,"New York, NY",,(516) 572-0123,https://health.usnews.com/best-hospitals/area/ny/nassau-university-medical-center-6211810,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
116,Newark Beth Israel Medical Center,6220820,6220820,201 Lyons Avenue at Osborne Terrace,Newark,New Jersey,NJ,07112-2027,40.7094,-74.2125,"New York, NY",,(973) 926-7000,https://health.usnews.com/best-hospitals/area/nj/newark-beth-israel-medical-center-6220820,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,Newark Beth Israel Medical Center,IHQCANC,32.5/100,,,,adult,2023-01-04 20:29:21.680567
117,Newton Medical Center,6220990,6220990,175 High Street,Newton,New Jersey,NJ,07860-1004,41.0576,-74.7684,"New York, NY",,(973) 383-2121,https://health.usnews.com/best-hospitals/area/nj/newton-medical-center-6220990,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
118,New York City Children's Center,6210325,6210325,74-03 Commonwealth Boulevard,Jamaica,New York,NY,11426-1890,40.7458,-73.7265,"New York, NY",,(718) 264-4506,https://health.usnews.com/best-hospitals/area/ny/queens-childrens-psychiatric-center-6210325,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
119,New York Community Hospital,6210740,6210740,2525 Kings Highway,Brooklyn,New York,NY,11229-1705,40.6139,-73.9486,"New York, NY",,(718) 692-5300,https://health.usnews.com/best-hospitals/area/ny/new-york-community-hospital-6210740,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
120,New York Eye and Ear Infirmary of Mount Sinai,6213190,6213190,310 East 14th Street,New York,New York,NY,10003-4201,40.7319,-73.9846,"New York, NY",,(212) 979-4000,https://health.usnews.com/best-hospitals/area/ny/new-york-eye-and-ear-infirmary-6213190,,,,,,,,"New York, NY",False,,False,0,1,0,2023-01-04 20:48:35.731110,,,,,,,,
121,New York-Presbyterian Hospital-Columbia and Cornell,6210024,PA6210024,525 East 68th Street,New York,New York,NY,10065-4870,40.7647,-73.954,"New York, NY",,(212) 305-5437,https://health.usnews.com/best-hospitals/area/ny/new-york-presbyterian-morgan-stanley-komansky-childrens-hospital-PA6210024,,,,,,,,"New York, NY",False,,False,0,0,10,2023-01-04 20:48:35.731110,,,,,,,,
122,New York-Presbyterian-Hudson Valley Hospital,6213930,6213930,1980 Crompond Road,Cortlandt Manor,New York,NY,10567-4182,41.2926,-73.8926,"New York, NY",,(914) 737-9000,https://health.usnews.com/best-hospitals/area/ny/hudson-valley-hospital-center-6213930,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
123,New York State Psychiatric Institute,6213270,6213270,1051 Riverside Drive,New York,New York,NY,10032-1007,40.8426,-73.9446,"New York, NY",,(212) 543-5000,https://health.usnews.com/best-hospitals/area/ny/new-york-state-psychiatric-institute-6213270,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
124,Northport Veterans Affairs Medical Center,6213690,6213690,79 Middleville Road,Northport,New York,NY,11768-2200,40.8937,-73.3088,"New York, NY",,(631) 261-4400,https://health.usnews.com/best-hospitals/area/ny/northport-veterans-affairs-medical-center-6213690,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
125,NYC Health and Hospitals-Bellevue,6212630,6212630,462 First Avenue,New York,New York,NY,10016-9198,40.7392,-73.9755,"New York, NY",,(212) 562-4141,https://health.usnews.com/best-hospitals/area/ny/bellevue-hospital-center-6212630,,,,,,,,"New York, NY",False,,False,2,0,0,2023-01-04 20:48:35.731110,,,,,,,,
126,NYC Health and Hospitals-Coney Island,6210570,6210570,2601 Ocean Parkway,Brooklyn,New York,NY,11235-7795,40.5855,-73.9656,"New York, NY",,(718) 616-3000,https://health.usnews.com/best-hospitals/area/ny/coney-island-hospital-6210570,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
127,NYC Health and Hospitals-Elmhurst,6213180,6213180,Health Sciences Library,Elmhurst,New York,NY,11373-1329,40.7445,-73.8863,"New York, NY",,(718) 334-4000,https://health.usnews.com/best-hospitals/area/ny/elmhurst-hospital-center-6213180,,,,,,,,"New York, NY",False,,False,1,0,0,2023-01-04 20:48:35.731110,,,,,,,,
128,NYC Health and Hospitals-Harlem,6212830,6212830,506 Lenox Avenue,New York,New York,NY,10037-1802,40.8141,-73.9398,"New York, NY",,(212) 939-1000,https://health.usnews.com/best-hospitals/area/ny/harlem-hospital-center-6212830,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
129,NYC Health and Hospitals-Henry J Carter Specialty Hospital and Medical Center,6210036,6210036,1752 Park Avenue,New York,New York,NY,10035,40.8030225,-73.9411667,"New York, NY",,(646) 686-0000,https://health.usnews.com/best-hospitals/area/ny/coler-goldwater-specialty-hospital-and-nursing-facility-6210036,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
130,NYC Health and Hospitals-Jacobi,6212700,6212700,1400 Pelham Parkway South,Bronx,New York,NY,10461-1197,40.8547,-73.8464,"New York, NY",,(718) 918-5000,https://health.usnews.com/best-hospitals/area/ny/jacobi-medical-center-6212700,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
131,NYC Health and Hospitals-Kings County,6210690,6210690,451 Clarkson Avenue,Brooklyn,New York,NY,11203-2054,40.6567,-73.9462,"New York, NY",,(718) 245-3131,https://health.usnews.com/best-hospitals/area/ny/kings-county-hospital-center-6210690,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
132,NYC Health and Hospitals-Lincoln,6213010,6213010,234 East 149th Street,Bronx,New York,NY,10451-5504,40.8169,-73.9244,"New York, NY",,(718) 579-5000,https://health.usnews.com/best-hospitals/area/ny/lincoln-medical-and-mental-health-center-6213010,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
133,NYC Health and Hospitals-Metropolitan,6213070,6213070,1901 First Avenue,New York,New York,NY,10029-7404,40.7852,-73.945,"New York, NY",,(212) 423-6262,https://health.usnews.com/best-hospitals/area/ny/metropolitan-hospital-center-6213070,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
134,NYC Health and Hospitals-North Central Bronx,6210395,6210395,3424 Kossuth Avenue,Bronx,New York,NY,10467-2489,40.8804,-73.8809,"New York, NY",,(718) 519-5000,https://health.usnews.com/best-hospitals/area/ny/north-central-bronx-hospital-6210395,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
135,NYC Health and Hospitals-Queens,6212010,6212010,82-68 164th Street,Jamaica,New York,NY,11432-1104,40.7172,-73.8035,"New York, NY",,(718) 883-3000,https://health.usnews.com/best-hospitals/area/ny/queens-hospital-center-6212010,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
136,NYC Health and Hospitals-Woodhull,6210965,6210965,760 Broadway,Brooklyn,New York,NY,11206-5383,40.7004,-73.9418,"New York, NY",,(718) 963-8000,https://health.usnews.com/best-hospitals/area/ny/woodhull-medical-and-mental-health-center-6210965,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
137,Ossining Correctional Facilities Hospital,6213880,6213880,354 Hunter Street,Ossining,New York,NY,10562-5498,41.1535,-73.868,"New York, NY",,(914) 941-0108,https://health.usnews.com/best-hospitals/area/ny/ossining-correctional-facilities-hospital-6213880,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
138,Palisades Medical Center at Hackensack Meridian Health,6220425,6220425,7600 River Road,North Bergen,New Jersey,NJ,07047-6217,40.7938,-73.9964,"New York, NY",,(201) 854-5000,https://health.usnews.com/best-hospitals/area/nj/palisades-medical-center-6220425,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
139,Pascack Valley Medical Center at Hackensack Meridian Health,6221618,6221618,250 Old Hook Road,Westwood,New Jersey,NJ,07675-3123,40.9857,-74.0155,"New York, NY",,(201) 383-1035,https://health.usnews.com/best-hospitals/area/nj/hackensack-university-medical-center-at-pascack-valley-6221618,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
140,Peconic Bay Medical Center at Northwell Health,6214195,6214195,1300 Roanoke Avenue,Riverhead,New York,NY,11901-2031,40.9344,-72.6736,"New York, NY",,(631) 548-6000,https://health.usnews.com/best-hospitals/area/ny/peconic-bay-medical-center-6214195,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
141,Phelps Memorial Hospital Center at Northwell Health,6213870,6213870,701 North Broadway,Sleepy Hollow,New York,NY,10591-1020,41.1088,-73.8633,"New York, NY",,(914) 366-3000,https://health.usnews.com/best-hospitals/area/ny/phelps-memorial-hospital-center-6213870,,,,,,,,"New York, NY",False,,False,2,0,0,2023-01-04 20:48:35.731110,Phelps Memorial Hospital Center at Northwell Health,IHQCANC,43.3/100,,,,adult,2023-01-04 20:29:21.680567
142,Pilgrim Psychiatric Center,6211812,6211812,998 Crooked Hill Road,Brentwood,New York,NY,11717-1019,40.7965,-73.2815,"New York, NY",,(631) 761-3500,https://health.usnews.com/best-hospitals/area/ny/pilgrim-psychiatric-center-6211812,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
143,Plainview Hospital at Northwell Health,6213977,6213977,888 Old Country Road,Plainview,New York,NY,11803-4978,40.7751,-73.4787,"New York, NY",,(516) 719-3000,https://health.usnews.com/best-hospitals/area/ny/north-shore-university-hospital-at-plainview-6213977,,,,,,,,"New York, NY",False,,False,0,0,0,2023-01-04 20:48:35.731110,,,,,,,,
