,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Metro,Recognized in Metro,Metro Rank,Tied?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated
81,St. Luke's Hospital Quakertown Campus,6232820,6232820,1021 Park Avenue,Quakertown,Pennsylvania,PA,18951-1573,40.4387,-75.3489,"Philadelphia, PA",,(215) 538-4500,https://health.usnews.com/best-hospitals/area/pa/st-lukes-hospital-quakertown-campus-6232820,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
82,St. Mary Rehabilitation Hospital,6230562,6230562,1201 Langhorne Newtown Road,Langhorne,Pennsylvania,PA,19047-1201,40.2026,-74.9252,"Philadelphia, PA",,(267) 560-1111,https://health.usnews.com/best-hospitals/area/pa/st-mary-rehabilitation-hospital-6230562,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
83,Suburban Community Hospital,6231583,6231583,2701 Dekalb Pike,East Norriton,Pennsylvania,PA,19401-1820,40.1402,-75.3158,"Philadelphia, PA",,(610) 278-2000,https://health.usnews.com/best-hospitals/area/pa/mercy-suburban-hospital-6231583,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
84,Valley Forge Medical Center and Hospital,6230807,6230807,1033 West Germantown Pike,Norristown,Pennsylvania,PA,19403-3905,40.1582,-75.3681,"Philadelphia, PA",,(610) 539-8500,https://health.usnews.com/best-hospitals/area/pa/valley-forge-medical-center-and-hospital-6230807,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
85,Virtua Marlton Hospital,6220600,6220600,90 Brick Road,Marlton,New Jersey,NJ,08053-2177,39.8821,-74.9183,"Philadelphia, PA",,(856) 355-6000,https://health.usnews.com/best-hospitals/area/nj/virtua-marlton-6220600,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
86,Virtua Mount Holly Hospital,6220730,6220730,175 Madison Avenue,Mount Holly,New Jersey,NJ,08060-2099,39.9861,-74.7949,"Philadelphia, PA",,(609) 914-6000,https://health.usnews.com/best-hospitals/area/nj/virtua-memorial-6220730,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
87,Virtua Willingboro Hospital,6220547,6220547,218-A Sunset Road,Willingboro,New Jersey,NJ,08046-1162,40.0463,-74.8806,"Philadelphia, PA",,(609) 835-2900,https://health.usnews.com/best-hospitals/area/nj/lourdes-medical-center-of-burlington-county-6220547,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
88,Weisman Children's Rehabilitation Hospital,6220026,6220026,92 Brick Road 3rd Floor,Marlton,New Jersey,NJ,08053-2177,39.8827,-74.9181,"Philadelphia, PA",,(856) 489-4520,https://health.usnews.com/best-hospitals/area/nj/weisman-childrens-rehabilitation-hospital-6220026,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
89,Wills Eye Hospital,6232330,6232330,840 Walnut Street,Philadelphia,Pennsylvania,PA,19107,39.9481921,-75.1550882,"Philadelphia, PA",,(215) 928-3000,https://health.usnews.com/best-hospitals/area/pa/wills-eye-hospital-6232330,"Philadelphia, PA",False,,False,0,1,0,2023-01-04 16:42:46.120813
90,Wilmington Veterans Affairs Medical Center,6310150,6310150,1601 Kirkwood Highway,Wilmington,Delaware,DE,19805-4989,39.7402,-75.6066,"Philadelphia, PA",,(302) 994-2511,https://health.usnews.com/best-hospitals/area/de/veterans-affairs-medical-center-6310150,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
